Algorithm,Iteration,Number_of_features,Number_of_targets,Train_Size_%,Test_Size_%,Accuracy,Precision,Recall,F1_Score
Decision Tree,1,3,5,80.0,20.0,0.608915,0.6055336772668096,0.608915,0.6071848691657463
Random Forest,1,3,5,80.0,20.0,0.644755,0.636765428103373,0.644755,0.6404578230186451
KNN,1,3,5,80.0,20.0,0.65507,0.6366273306232096,0.65507,0.6437402792417408
Decision Tree,2,3,5,75.0,25.0,0.609784,0.6067602839384643,0.609784,0.6082281269982325
Random Forest,2,3,5,75.0,25.0,0.644244,0.636009443221446,0.644244,0.6398005761344258
KNN,2,3,5,75.0,25.0,0.654444,0.6356567140641132,0.654444,0.6429389567311518
Decision Tree,3,3,5,70.0,30.0,0.60872,0.6056963632213963,0.60872,0.6071711594796764
Random Forest,3,3,5,70.0,30.0,0.6448266666666667,0.6360031537724049,0.6448266666666667,0.6400403346277777
KNN,3,3,5,70.0,30.0,0.6542066666666667,0.6354919508918873,0.6542066666666667,0.642661391727255
Decision Tree,4,3,5,65.0,35.0,0.6082685714285714,0.6053110915162275,0.6082685714285714,0.6067565907153042
Random Forest,4,3,5,65.0,35.0,0.6451828571428572,0.6360586490170453,0.6451828571428572,0.640225412345689
KNN,4,3,5,65.0,35.0,0.6538514285714285,0.6351366541215597,0.6538514285714285,0.642299941070068
Decision Tree,5,3,5,60.0,40.0,0.6083725,0.6056245557688092,0.6083725,0.6069690064222606
Random Forest,5,3,5,60.0,40.0,0.64512,0.6364451987340249,0.64512,0.6404139942345626
KNN,5,3,5,60.0,40.0,0.65504,0.6362793739195295,0.65504,0.643464423943593
